iter	Logloss
0	0.6877860535
1	0.6819149697
2	0.6781060051
3	0.6700812645
4	0.6677209006
5	0.6615987518
6	0.6552789999
7	0.6499939738
8	0.6453136859
9	0.6403051869
10	0.6369459533
11	0.6307912464
12	0.6264753141
13	0.6212798997
14	0.6174923557
15	0.6116714678
16	0.6071605582
17	0.6031989384
18	0.5979846701
19	0.5932006119
20	0.5893608312
21	0.5845463366
22	0.5798680584
23	0.5765881321
24	0.569356874
25	0.566300022
26	0.563437606
27	0.56035105
28	0.556570708
29	0.5515547583
30	0.5492479769
31	0.5465614298
32	0.5428718136
33	0.5388108288
34	0.5367371838
35	0.5340464097
36	0.5315284752
37	0.5287916141
38	0.5255447267
39	0.5228565587
40	0.5193467397
41	0.5169980638
42	0.515522702
43	0.5115440561
44	0.5095189173
45	0.5080430401
46	0.5049080508
47	0.5026846368
48	0.4995156255
49	0.4968007708
50	0.4936768531
51	0.4919622093
52	0.4891024269
53	0.4876729185
54	0.4847192424
55	0.4818422775
56	0.4790120117
57	0.4777621437
58	0.4752840546
59	0.4727677007
60	0.4711244818
61	0.4688468887
62	0.4664446161
63	0.4639605482
64	0.4624910697
65	0.4609874305
66	0.4596973096
67	0.4570918649
68	0.4550137631
69	0.4535990494
70	0.451760256
71	0.4498596997
72	0.447632015
73	0.4463350505
74	0.4443749233
75	0.4424867272
76	0.4403229834
77	0.4376385289
78	0.4364306338
79	0.4349186725
80	0.4332338597
81	0.4314521511
82	0.4299329049
83	0.4286142525
84	0.4267945024
85	0.4243878587
86	0.4235864927
87	0.4217164286
88	0.4198883334
89	0.4190798388
90	0.4178185878
91	0.4155121821
92	0.4131943878
93	0.4119007221
94	0.4102141719
95	0.4089471536
96	0.4072685577
97	0.4059688741
98	0.4044208591
99	0.4039173636
100	0.4021581254
101	0.4010496116
102	0.4001609264
103	0.3989031486
104	0.3979908611
105	0.396996229
106	0.3961854586
107	0.3954011512
108	0.394135338
109	0.3934402023
110	0.3919958025
111	0.3912180613
112	0.3901658241
113	0.3891484205
114	0.3881408737
115	0.3870541788
116	0.3863888963
117	0.3853004479
118	0.3840265491
119	0.3832974489
120	0.3818705773
121	0.3809856669
122	0.3797509231
123	0.3785811356
124	0.3776489176
125	0.3764055427
126	0.3752373609
127	0.374771579
128	0.3739979352
129	0.3731028291
130	0.371866381
131	0.3707657479
132	0.3692460485
133	0.3681780052
134	0.3671195922
135	0.3666638593
136	0.3660378898
137	0.3652494363
138	0.3643729895
139	0.3629684058
140	0.3622901986
141	0.3614995505
142	0.3608822809
143	0.3603541447
144	0.3595064954
145	0.3582007283
146	0.3574809788
147	0.3570609864
148	0.3560614122
149	0.3555787412
150	0.3547269272
151	0.3540308598
152	0.3537378102
153	0.3531749409
154	0.3524563285
155	0.3517212063
156	0.3508054822
157	0.3498980895
158	0.3491870748
159	0.3483284891
160	0.347935254
161	0.3471315293
162	0.3466511595
163	0.3460071591
164	0.3455570659
165	0.3449501219
166	0.3442657468
167	0.3434718183
168	0.3430002103
169	0.3423091421
170	0.3412717821
171	0.3409574419
172	0.3402221783
173	0.3394212833
174	0.3387647105
175	0.3379695143
176	0.3376308646
177	0.3371208627
178	0.3366203834
179	0.336291144
180	0.3352768925
181	0.3345538355
182	0.3341238235
183	0.333668219
184	0.3335386902
185	0.3326737186
186	0.3320776843
187	0.3313487231
188	0.3301874831
189	0.329450396
190	0.3291226771
191	0.3285002469
192	0.3282433853
193	0.3276445248
194	0.3270237467
195	0.3263969873
196	0.3257882533
197	0.3250481073
198	0.3248633103
199	0.324302246
200	0.3238924295
201	0.3236232454
202	0.3232230276
203	0.3228560837
204	0.3225422817
205	0.3221877455
206	0.3217221196
207	0.3212311129
208	0.3207860302
209	0.320111361
210	0.3194790759
211	0.3191403057
212	0.3187677356
213	0.3184030704
214	0.3179552633
215	0.3175265942
216	0.3170723192
217	0.316585874
218	0.3161842342
219	0.3157048896
220	0.3150979808
221	0.3136168758
222	0.3130119441
223	0.3125402243
224	0.3120097822
225	0.3117592034
226	0.3111938436
227	0.3107433917
228	0.3105698899
229	0.3101547818
230	0.3098422013
231	0.3091116953
232	0.3085283503
233	0.3078904751
234	0.3074086068
235	0.3066252895
236	0.3059869344
237	0.3056476631
238	0.3052153033
239	0.3048213358
240	0.3041630628
241	0.3039271359
242	0.3033870162
243	0.3026857437
244	0.3021981025
245	0.3017634728
246	0.3012429401
247	0.3007115558
248	0.3000601744
249	0.2997233541
250	0.2992632537
251	0.2990339346
252	0.2986060085
253	0.2983119896
254	0.2979099933
255	0.2975739224
256	0.2969033774
257	0.2964734992
258	0.2962347336
259	0.296061775
260	0.2957470141
261	0.295208019
262	0.2947841781
263	0.2945673708
264	0.2941699039
265	0.2937599237
266	0.2933617039
267	0.2928847967
268	0.2925453045
269	0.2920687477
270	0.2916989215
271	0.2915363779
272	0.2912007094
273	0.2909754265
274	0.2906430347
275	0.2903914776
276	0.2899887528
277	0.2898153533
278	0.2894865722
279	0.2891544009
280	0.2889482257
281	0.2884688085
282	0.288092272
283	0.2876780353
284	0.2874959222
285	0.2870969099
286	0.286666497
287	0.2861376103
288	0.2858344115
289	0.2855011606
290	0.2850241066
291	0.284555873
292	0.2841813152
293	0.2840000078
294	0.2834467997
295	0.2830561182
296	0.2826920285
297	0.2824526592
298	0.2819955945
299	0.2816364807
